Dup_Group,record_id,duplicate_id,author,title,abstract,doi,year,journal,volume,number,pages,isbn,label,source
120,915,915,"Hollister LE, Sjoberg BM","Clinical syndromes and biochemical alterations following mescaline, lysergic acid diethylamide, psilocybin and a combination of the three psyhotomimetic drugs",NA,NA,1964,Comprehensive psychiatry,20,NA,170-NA,NA,NA,NA
120,2619,3108,Hollister L.E. and Sjoberg B.M.,"Clinical syndromes and biochemical alterations following mescaline. Lysergic acid diethylamide, psilocybin and a combination of the three psychotomimetic drugs","Twenty-four volunteer subjects were treated with mescaline (5 mg./K), LSD -25 (1.5 meg./K), psilocybin (225 meg./K) or a combination of all 3 drugs using one-third doses of each. The 1 treatments were given orally in a latin-square order. Clinical effects as assessed by a 75-item questionnaire, the Clyde Mood Scale and the Hof fer-Osmund Diagnostic (HOD) test were remarkably alike for all 4 treatments. Somatic effects or varying degrees of intellectual impairment were most apparent on the questionnaire: many perceptual and psychic symptoms were denied. Of the 6 factors on the Clyde Mood Scale, 3 (friendly, energetic and clearthinking) were uniformly decreased by the drugs in the first 2 to 4 hours; 3 other factors (aggressive, jittery and depressed) tended to be increased by the drugs, both early and late. Questions most often answered positively on the HOD test were concerned with somatic effects or perceptual alterations (fluctuating time sense, increased auditory and tactile acuity, and visual effects); once again, frankly psychotic symptoms were seldom reported. All treatments increased plasma free fatty acids, but the degree of mobilization of FFA was not related to the severity of the clinical reaction. All treatments decreased urinary creatinine clearance slightly; clearance of inorganic phosphorus was more substantially reduced, along with increased serum phosphorus. Little effect was noted on urinary calcium excretion, serum calcium, plasma glucose, or serum triglycerides. Levels of circulating eosinophils declined, but not to a significant degree. The biochemical alterations probably represent nonspecific reactions to stress.",http://dx.doi.org/10.1016/S0010-440X%2864%2980030-4,1964,Comprehens. Psychiat,5,3,170-178,NA,NA,NA
122,1728,1728,Kleber H.D.,Commentary on: Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance by Griffiths et al,NA,http://dx.doi.org/10.1007/s00213-006-0461-9,2006,Psychopharmacology,187,3,291-292,NA,NA,NA
122,2934,2934,"Kleber, Herbert D",Commentary on: Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance by Griffiths et al,"Comments on an article by Griffiths et al (see record 2006-09692-002). The decade of the 1960s began the current era of heavy drug use in America, beginning perhaps with Timothy Leary's Pied Piper invitation to ""Turn On, Tune In, Drop Out"" (with psychedelic drugs). The authors should be commended for the way they designed and carried out the double-blind project. The design involved using 30 mg/70 kg of psilocybin as the active experimental agent and 40 mg/70 kg of methylphenidate as an active control. The blinding was done so carefully that even the experienced monitors misidentified the administered agent approximately one quarter of the time. This study suggests a number of possibilities, both basic and translational, that should merit NIH support. The positive findings of the study cannot help but raise concern in some that it will lead to increased experimenting with these substances by youth in the kind of uncontrolled and unmonitored fashion that produced casualties over the past three decades. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1007/s00213-006-0461-9 and http://dx.doi.org/10.1007/s00213-006-0461-9,2006,Psychopharmacology,187,3,291-292,NA,NA,NA
123,1731,1731,Nichols D.E.,Commentary on: Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance by Griffiths et al,NA,http://dx.doi.org/10.1007/s00213-006-0458-4,2006,Psychopharmacology,187,3,284-286,NA,NA,NA
123,2937,2937,"Nichols, David E",Commentary on: Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance by Griffiths et al,"Comments on an article by Griffiths et al (see record 2006-09692-002). This article is the first well-designed, placebo-controlled, clinical study in more than four decades to examine the psychological consequences of the effects of the hallucinogenic agent known as psilocybin. The study convincingly demonstrates that, when used appropriately, these compounds can produce remarkable, possibly beneficial, effects that certainly deserve further study. The parallel between mystical states and the effects of psychedelic drugs is well-known among those familiar with the literature. Clearly, these substances have profound effects on human consciousness, and in the 1950s and 1960s, the drug known as LSD was hailed as a revolutionary new technology for psychiatry. The authors have done in their present work represents an important extension of Pahnke's ""Good Friday"" experiment. The subjects in the study were not theology students, but were simply ordinary people with an interest in spiritual things. The work demonstrates that, under appropriate experimental conditions, psilocybin occasioned experiences similar to spontaneously occurring mystical states. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1007/s00213-006-0458-4 and http://dx.doi.org/10.1007/s00213-006-0458-4,2006,Psychopharmacology,187,3,284-286,NA,NA,NA
124,1727,1727,Schuster C.R.,Commentary on: Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance by Griffiths et al,NA,http://dx.doi.org/10.1007/s00213-006-0460-x,2006,Psychopharmacology,187,3,289-290,NA,NA,NA
124,2935,2935,"Schuster, Charles R",Commentary on: Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance by Griffiths et al,"Comments on an article by Griffiths et al (see record 2006-09692-002). The study by Griffiths et al. is noteworthy both for the rigorousness of its design and execution, as well as the clarity of its results. It demonstrates that psilocybin can be safely studied in normal human beings who do not have a history of hallucinogenic drug use. The term psychedelic, when applied to drugs, implies that the drug experience is ""mind-expanding."" The paper illustrates the accuracy of this description for psilocybin, and I hope that this landmark paper will also be ""field-expanding."" The report clearly demonstrates that we can objectively study the experiences reported by many to be profoundly spiritual and meaningful, and that we can investigate the long-term positive consequences for the individual's attitudes and behavior. I hope that this paper renews interest in a fascinating and potentially useful class of psychotropic agents. Understanding the brain mechanisms mediating these effects is clearly within the realm of neuroscience and deserves further intensive investigation. Griffiths et al. are to be highly commended for reinvigorating this important area of research. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1007/s00213-006-0460-x and http://dx.doi.org/10.1007/s00213-006-0460-x,2006,Psychopharmacology,187,3,289-290,NA,NA,NA
125,86,86,"Shebloski, Katarina L and Broadway, James M",Commentary: Effects of psilocybin on time perception and temporal control of behavior in humans,NA,https://dx.doi.org/10.3389/fpsyg.2016.00736,2016,Front Psychol,7,NA,736-NA,NA,NA,NA
125,2780,2780,"Shebloski, Katarina L and Broadway, James M",Commentary: Effects of psilocybin on time perception and temporal control of behavior in humans,"Comments on an article by Marc Wittmann et al. (see record 2006-23483-006). The authors proposing that altered states of consciousness induced by pharmacological treatments and neurological disorders can reveal much about the circuitry underlying time perception in normal states of consciousness. Further research is needed to integrate these separate research domains. Wittmann et al. investigated time estimation under the influence of psilocybin. The study addressed the functional role of serotoninergic 5-HT2A receptors in internal clock models (ICMs) in duration discrimination and temporal control of motor performance. The study revealed a decreased ability to accurately produce intervals longer than 3 s and synchronize finger-tapping to auditory beats separated by more than 2 s. This suggests that effects of psilocybin on temporal processing are specific to relatively long durations, attributable to memory, and decision-making components of the ICM, rather than to more basic pacemaker/accumulator mechanisms (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.3389/fpsyg.2016.00736 and http://dx.doi.org/10.3389/fpsyg.2016.00736,2016,Frontiers in Psychology,7,NA,"NA-NA",NA,NA,NA
125,1732,1732,Snyder S.H.,Commentary on: Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance by Griffiths et al,NA,http://dx.doi.org/10.1007/s00213-006-0459-3,2006,Psychopharmacology,187,3,287-288,NA,NA,NA
125,2936,2936,"Snyder, Solomon H",Commentary on: Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance by Griffiths et al,"Comments on an article by Griffiths et al (see record 2006-09692-002). Psychedelic drugs such as psilocybin, lysergic acid diethylamide (LSD), mescaline, dimethyltryptamine (DMT), and many others include synthetic chemicals and the active ingredients in psychoactive extracts of plants that have been used since time immemorial for their mind-altering properties. These agents were first employed for religious purposes, evidently to facilitate contact with the supernatural. The rampant abuse of psychedelic drugs in the late 1960s led to strict controls with such severe restrictions that clinical and even laboratory research virtually vanished. Griffiths et al. now report a rigorous, blinded study of mystical experiences associated with psilocybin. The observation that psilocybin reliably elicits a transcendent, mystical state tells us that investigations of these drugs may help us understand molecular alterations in the brain that underlie mystical religious experiences. By showing that one can responsibly conduct clinical research with psychedelic drugs and by confirming the mystical influences of these agents, the authors may help resurrect psychedelic drugs as major tools in probing the molecular bases of consciousness. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1007/s00213-006-0459-3 and http://dx.doi.org/10.1007/s00213-006-0459-3,2006,Psychopharmacology,187,3,287-288,NA,NA,NA
129,3126,3126,"Silva, F and Heath, R. G and Rafferty, T and Johnson, R and Robinson, W","Comparative effects of the administration of taraxein, d-LSD, mescaline, and psilocybin to human volunteers","Each of the 4 volunteers received all 4 drugs except for the omission of d-LSD in 1 S. Following taraxein there was more dysphoria, blocking, and thought deprivation than following the other 3 psychotomimetic drugs. Taraxein produced primary and secondary symptoms more typical of schizophrenia than symptoms produced by the other 3 drugs. Taraxein is obtained from the serum of schizophrenics but not from the serum of nonpsychotic controls. From Psyc Abstracts 36:01:1DK70S. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1016/S0010-440X%2860%2980060-0 and http://dx.doi.org/10.1016/S0010-440X%2860%2980060-0,1960,Comprehensive Psychiatry,1,NA,370-376,NA,NA,NA
129,917,917,"Silva F, Heath RD, Raffety T, Johnson R, Robinson W","Comparaative effects of the adminsitration of taraxein, d-LSD, mescaline, and psilocybin to human volunteers",NA,NA,1960,Comprehensive psychiatry,1,NA,370-NA,NA,NA,NA
132,523,523,"Gartz, J",[Comparative thin layer chromatography studies of two psilocybes and a hallucinogenic inocybe],NA,NA,1985,Pharmazie,40,2,134-NA,NA,NA,NA
132,1997,1997,Gartz J.,Comparative thin-layer chromatographical examinations of two psilocybe types and of one hallucinogenic inocybe type,NA,NA,1985,Pharmazie,40,2,134-NA,NA,NA,NA
133,853,853,"WOLBACH, A B Jr and MINER, E J and ISBELL, H","Comparison of psilocin with psilocybin, mescaline and LSD-25",NA,NA,1962,Psychopharmacologia,3,NA,219-23,NA,NA,NA
133,2654,2654,Wolbach A.B. and Miner E.J. and Isbell H.,"Comparison of psilocjn with psilocybin, mkscalink and lsd-25",A dose of 1 mug./kg. of lysergide tartarate is approximately equivalent to 45 mug./kg. of psilocin; 1 mug./kg. of psilocin is equivalent to 66 mug./kg. of mescaline. Psilocin is approximately 1.4 times as potent as psilocybir. PopoviC - Bratislava.,NA,1962,Psychopharmacologia (Berl.),3,3,219-223,NA,NA,NA
134,2287,600,Greenberg I. and Kuhn D. and Appel J.B.,Comparison of the discriminative stimulus properties of DELTA9 THC and psilocybin in rats,Male albino rats were trained to respond differentially on the left or right lever in a 2 lever chamber on the basis of which drug had been given intra peritoneally (IP) 30 min before experimentation. In 1 group 1.0 mg/kg of DELTA9 THC and control injections (vehicle) served as the discriminative stimuli associated with each lever and in another group the drug stimuli were 1.0 mg/kg of DELTA9 THC and 1.0 mg/kg of psilocybin. The results confirmed those of other experiments using different procedures; that DELTA9 THC can acquire discriminative control over responding. The fact that DELTA9 THC and psilocybin were also found to differentially control lever choice demonstrates that these 2 drugs probably produce dicriminably different states in rats.,http://dx.doi.org/10.1016/0091-3057%2875%2990131-8,1975,PHARMACOL. BIOCHEM. BEHAV,3,5,931-934,NA,NA,NA
134,3036,3036,"Greenberg, Isaac and Kuhn, Don and Appel, James B",Comparison of the discriminative stimulus properties of D9-THC and psilocybin in rats,"10 male Sprague-Dawley albino rats were trained to respond differentially on the left or right lever in a 2-lever chamber on the basis of which drug had been given ip 30 min before experimentation. In 1 group 1.0 mg/kg of D9-tetrahydrocannabinol (THC) and control injections (vehicle) served as the discriminative stimuli associated with each lever, and in another group the drug stimuli were 1.0 mg/kg of THC and 1.0 mg/kg of psilocybin. Results confirm those of other experiments using different procedures: that THC can acquire discriminative control over responding. The fact that THC and psilocybin were also found to differentially control lever choice demonstrates that these 2 drugs probably produce discriminably different states in rats. (19 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1016/0091-3057%2875%2990131-8 and http://dx.doi.org/10.1016/0091-3057%2875%2990131-8,1975,"Pharmacology, Biochemistry and Behavior",3,5,931-934,NA,NA,NA
139,719,719,"Dubansky, B and Vyhnankova, M and Setlik, L",[Concurrent appearance of neurologic syndromes and of altered proprioceptive perception after psilocybine in patients with organic brain damage],NA,NA,1968,Cesk Neurol,31,6,394-9,NA,NA,NA
139,2601,2601,Dubansky B. and Vyhnankova M. and Setlik L.,Simultaneous neurological signs and changes in proprioception after psilocybin in organic brain lesions,"Motor signs and proprioceptive changes were shown to occur simultaneously after a standard single dose (0.15 mg/kg) of psilocybin in 96 patients with organic brain lesions of varying etiology and localization. The following neurological signs could be demonstrated: pronounced manifestations of pyramidal deficiency in central paresis; the presence of articulatory disorders and disorders of motor coordination and pronounced symbolic disorders, e.g., expressive aphasia, agraphia, apraxia and astereognosia.",NA,1968,Cs. Neurol,31,6,394-399,NA,NA,NA
139,2680,2680,Vyhnankova M.,Simultaneous neurological signs and changes in proprioception after psilocybin in organic brain lesions - soucasny vyskyt neurologickych priznaku a zmeneneho proprioceftivniho vnimani po psilocybinu u nemocnych s organickym poskoaenlm mozku dubansky b,"Motor signs and proprioceptive changes were shown to occur simultaneously after a standard single dose (0.15 mg/kg) of psilocybin in 96 patients with organic brain lesions of varying etiology and localization. The following neurological signs could be demonstrated: pronounced manifestations of pyramidal deficiency in central paresis; the presence of articulatory disorders and disorders of motor coordination and pronounced symbolic disorders, e.g., expressive aphasia, agraphia, apraxia and astereognosia.",NA,NA,Cs.Neurol,19,68,394-399,NA,NA,NA
142,2018,2018,Giannini A.J. and Price W.A. and Giannini M.C.,Contemporary drugs of abuse,"The physician needs to know the signs, symptoms and recommended treatments of drug overdoses. Overdose of hallucinogens usually does not require drug therapy. Overdose of amphetamines ('uppers') may be complicated by the presence of PCP, a dissociative substance. It is important for the physician to be familiar with the street terminology for contemporary drugs of abuse and to be aware of how users obtain these drugs.",NA,1986,AM. FAM. PHYS,33,3,207-216,NA,NA,NA
142,2017,2017,Giannini A.J. and Price W.A. and Giannini M.C.,Contemporary drugs of abuse,NA,NA,1986,OHIO STATE MED. J,82,8,505-NA,NA,NA,NA
146,3057,3057,"Fischer, R and Scheib, J",Creative performance and the hallucinogenic drug-induced creative experience or one man's brain-damage is another's creativity,"Found a significant inverse relation in 21 college-age volunteers between ""brain damage"" (as measured by degree of rotation on the Minnesota Percepto-Diagnostic Test) and ""creativity"" (D. MacKinnon's creative-performance score computed as the sum of the ""intuition"" and ""perception"" dimensions on the Myers-Briggs Type Indicator) prior to, at the peak of, and at the termination of a 160 mg/kg psilocybin-induced experience. A larger perceptual-behavior repertoire, a lower creative performer's score, and field independence characterized Ss who produced aesthetically-pleasing figure drawings at the peak of the hallucinogenic drug experience. These 3 criteria were among the prerequisites of the hallucinogenic drug-induced creative experience, and may point to 1 essential ""talent"": an individual's ability to float free of anxiety in a dreamy state and to find symbolic meaning in the ever-changing play of figure-ground relationships. A -shaped relation between creativity and general intelligence is postulated, and it is argued that neither the brain damage test nor MacKinnon's creativity score measures what they are intended to when applied to the drug-induced waking-dream state. (49 ref.) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",NA,1971,Confinia Psychiatrica,14,3-4,174-202,NA,NA,NA
146,1010,4,Garcia-Romeu A. and Richards W.A.,Current perspectives on psychedelic therapy: use of serotonergic hallucinogens in clinical interventions,"Humans have used serotonergic hallucinogens (i.e. psychedelics) for spiritual, ceremonial, and recreational purposes for thousands of years, but their administration as part of a structured therapeutic intervention is still a relatively novel practice within Western medical and psychological frameworks. In the mid-20th century, considerable advances were made in developing therapeutic approaches integrating administration of low (psycholytic) and high (psychedelic) doses of serotonergic hallucinogens for treatment of a variety of conditions, often incorporating psychoanalytic concepts prevalent at that time. This work contributed seminal insights regarding how these substances may be employed with efficacy and safety in targeted therapeutic interventions, including the importance of optimizing set (frame of mind) and setting (therapeutic environment). More recently, clinical and pharmacological research has revisited the effects and therapeutic potential of psychedelics utilizing a variety of approaches. The current article provides an overview of past and present models of psychedelic therapy, and discusses important considerations for future interventions incorporating the use of psychedelics in research and clinical practice.Copyright Â© 2018, Â© 2018 Institute of Psychiatry and Johns Hopkins University.",http://dx.doi.org/10.1080/09540261.2018.1486289,2018,Int. Rev. Psychiatry,30,4,291-316,NA,NA,NA
152,753,753,Anonymous,Dependence on LSD and other hallucinogenic drugs,NA,NA,1967,JAMA,202,1,141-4,NA,NA,NA
152,2492,2492,Anonymous.,Dependence on LSD and other hallucinogenic drugs,NA,NA,1967,JAMA,202,1,141-144,NA,NA,NA
166,1541,2873,Halberstadt A.L. and Koedood L. and Powell S.B. and Geyer M.A.,Differential contributions of serotonin receptors to the behavioral effects of indoleamine hallucinogens in mice,"Psilocin (4-hydroxy-N,N-dimethyltryptamine) is a hallucinogen that acts as an agonist at 5-HT1A, 5-HT2A, and 5-HT2C receptors. Psilocin is the active metabolite of psilocybin, a hallucinogen that is currently being investigated clinically as a potential therapeutic agent. In the present investigation, we used a combination of genetic and pharmacological approaches to identify the serotonin (5-HT) receptor subtypes responsible for mediating the effects of psilocin on head twitch response (HTR) and the behavioral pattern monitor (BPM) in C57BL/6J mice. We also compared the effects of psilocin with those of the putative 5-HT2C receptor-selective agonist 1-methylpsilocin and the hallucinogen and non-selective serotonin receptor agonist 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT). Psilocin, 1-methylpsilocin, and 5-MeO-DMT induced the HTR, effects that were absent in mice lacking the 5-HT2A receptor gene. When tested in the BPM, psilocin decreased locomotor activity, holepoking, and time spent in the center of the chamber, effects that were blocked by the selective 5-HT1A antagonist WAY-100635 but were not altered by the selective 5-HT2C antagonist SB 242,084 or by 5-HT2A receptor gene deletion. 5-MeO-DMT produced similar effects when tested in the BPM, and the action of 5-MeO-DMT was significantly attenuated by WAY-100635. Psilocin and 5-MeO-DMT also decreased the linearity of locomotor paths, effects that were mediated by 5-HT2C and 5-HT1A receptors, respectively. In contrast to psilocin and 5-MeO-DMT, 1-methylpsilocin (0.6-9.6mg/kg) was completely inactive in the BPM. These findings confirm that psilocin acts as an agonist at 5-HT1A, 5-HT2A, and 5-HT2C receptors in mice, whereas the behavioral effects of 1-methylpsilocin indicate that this compound is acting at 5-HT2A sites but is inactive at the 5-HT1A receptor. The fact that 1-methylpsilocin displays greater pharmacological selectivity than psilocin indicates that 1-methylpsilocin represents a potentially useful alternative to psilocybin for development as a potential therapeutic agent. Â© The Author(s) 2011 Reprints and permissions: sagepub.co.uk/journalsPermissions.nav.",http://dx.doi.org/10.1177/0269881110388326,2011,J. Psychopharmacol,25,11,1548-1561,NA,NA,NA
166,2873,324,"Halberstadt, Adam L and Koedood, Liselore and Powell, Susan B and Geyer, Mark A",Differential contributions of serotonin receptors to the behavioral effects of indoleamine hallucinogens in mice,"Psilocin (4-hydroxy-N,N-dimethyltryptamine) is a hallucinogen that acts as an agonist at 5-HT1A, 5-HT2A, and 5-HT2C receptors. Psilocin is the active metabolite of psilocybin, a hallucinogen that is currently being investigated clinically as a potential therapeutic agent. In the present investigation, we used a combination of genetic and pharmacological approaches to identify the serotonin (5-HT) receptor subtypes responsible for mediating the effects of psilocin on head twitch response (HTR) and the behavioral pattern monitor (BPM) in C57BL/6J mice. We also compared the effects of psilocin with those of the putative 5-HT2C receptor-selective agonist 1-methylpsilocin and the hallucinogen and non-selective serotonin receptor agonist 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT). Psilocin, 1-methylpsilocin, and 5-MeO-DMT induced the HTR, effects that were absent in mice lacking the 5-HT2A receptor gene. When tested in the BPM, psilocin decreased locomotor activity, holepoking, and time spent in the center of the chamber, effects that were blocked by the selective 5-HT1A antagonist WAY-100635 but were not altered by the selective 5-HT2C antagonist SB 242,084 or by 5-HT2A receptor gene deletion. 5-MeO-DMT produced similar effects when tested in the BPM, and the action of 5-MeO-DMT was significantly attenuated by WAY-100635. Psilocin and 5-MeO-DMT also decreased the linearity of locomotor paths, effects that were mediated by 5-HT2C and 5-HT1A receptors, respectively. In contrast to psilocin and 5-MeO-DMT, 1-methylpsilocin (0.6-9.6 mg/kg) was completely inactive in the BPM. These findings confirm that psilocin acts as an agonist at 5-HT1A, 5-HT2A, and 5-HT2C receptors in mice, whereas the behavioral effects of 1-methylpsilocin indicate that this compound is acting at 5-HT2A sites but is inactive at the 5-HT1A receptor. The fact that 1-methylpsilocin displays greater pharmacological selectivity than psilocin indicates that 1-methylpsilocin represents a potentially useful alternative to psilocybin for development as a potential therapeutic agent. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1177/0269881110388326 and http://dx.doi.org/10.1177/0269881110388326,2011,Journal of Psychopharmacology,25,11,1548-1561,NA,NA,NA
167,3086,3086,"Kakolewski, J. W","Differentiation of EEG ""deactivation.""","""Deactivation"" of the EEG evoked by prolonged acoustic stimuli is different from the ""deactivation"" evoked by prolonged nociceptive stimuli. Ss were 60 male adult New Zealand albino rabbits. During prolonged acoustic stimulation the EEG arousal response to superimposed short acoustic stimulation was diminished, but enhanced to superimposed short nociceptive stimuli. During prolonged nociceptive stimulation the EEG arousal response was diminished to short superimposed acoustic and diminished or blocked to superimposed short nociceptive stimulation. Prolonged stimulation was able to ""deactivate"" the EEG arousal evoked by nicotine, but not LSD-25 and psilocybin. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1016/0031-9384%2868%2990002-4 and http://dx.doi.org/10.1016/0031-9384%2868%2990002-4,1968,Physiology & Behavior,3,4,503-506,NA,NA,NA
167,2681,2681,Kakolewski J.W.,Differentiation of EEG deactivation,"The 'deactivation' of the EEG evoked by prolonged acoustic stimuli is different from the 'deactivation' evoked by prolonged nociceptive stimuli. During prolonged acoustic stimulation the EEG arousal response to superimposed short acoustic stimulation is diminished, but enhanced to superimposed short nociceptive stimuli. During prolonged nociceptive stimulation the EEG arousal response is diminished to short superimposed acoustic and diminished or blocked to superimposed short nociceptive stimulation. Prolonged stimulation was able to 'deactivate' the EEG arousal evoked by nicotine, but not LSD-25 and psilocybin.",http://dx.doi.org/10.1016/0031-9384%2868%2990002-4,NA,Physiol. Behav,3,4,503-506,NA,NA,NA
179,899,899,"Barrett FS, Carbonaro TM, Hurwitz E, Johnson MW, Griffiths RR",Double-blind comparison of the two hallucinogens psilocybin and dextromethorphan: effects on cognition,"Objectives: Classic psychedelics (serotonin 2A receptor agonists) and dissociative hallucinogens (NMDA receptor antagonists), though differing in pharmacology, may share neuropsychological effects. These drugs, however, have undergone limited direct comparison. This report presents data from a double-blind, placebo-controlled within-subjects study comparing the neuropsychological effects of multiple doses of the classic psychedelic psilocybin with the effects of a single high dose of the dissociative hallucinogen dextromethorphan (DXM).Methods: Twenty hallucinogen users (11 females) completed neurocognitive assessments during five blinded drug administration sessions (10, 20, and 30 mg/70 kg psilocybin; 400 mg/70 kg DXM; and placebo) in which participants and study staff were informed that a large range of possible drug conditions may have been administered.Results: Global cognitive impairment, assessed using the Mini-Mental State Examination during peak drug effects, was not observed with psilocybin or DXM. Orderly and dose-dependent effects of psilocybin were observed on psychomotor performance, working memory, episodic memory, associative learning, and visual perception. Effects of DXM on psychomotor performance, visual perception, and associative learning were in the range of effects of a moderate to high dose (20 to 30 mg/70 kg) of psilocybin.Conclusions: This was the first study of the dose effects of psilocybin on a large battery of neurocognitive assessments. Evidence of delirium or global cognitive impairment was not observed with either psilocybin or DXM. Psilocybin had greater effects than DXM on working memory. DXM had greater effects than all psilocybin doses on balance, episodic memory, response inhibition, and executive control. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",NA,2018,Psychopharmacology,NA,NA,"NA-NA",NA,NA,NA
179,1074,2685,Barrett F.S. and Carbonaro T.M. and Hurwitz E. and Johnson M.W. and Griffiths R.R.,Double-blind comparison of the two hallucinogens psilocybin and dextromethorphan: effects on cognition,"Objectives: Classic psychedelics (serotonin 2A receptor agonists) and dissociative hallucinogens (NMDA receptor antagonists), though differing in pharmacology, may share neuropsychological effects. These drugs, however, have undergone limited direct comparison. This report presents data from a double-blind, placebo-controlled within-subjects study comparing the neuropsychological effects of multiple doses of the classic psychedelic psilocybin with the effects of a single high dose of the dissociative hallucinogen dextromethorphan (DXM). Methods: Twenty hallucinogen users (11 females) completed neurocognitive assessments during five blinded drug administration sessions (10, 20, and 30 mg/70 kg psilocybin; 400 mg/70 kg DXM; and placebo) in which participants and study staff were informed that a large range of possible drug conditions may have been administered. Results: Global cognitive impairment, assessed using the Mini-Mental State Examination during peak drug effects, was not observed with psilocybin or DXM. Orderly and dose-dependent effects of psilocybin were observed on psychomotor performance, working memory, episodic memory, associative learning, and visual perception. Effects of DXM on psychomotor performance, visual perception, and associative learning were in the range of effects of a moderate to high dose (20 to 30 mg/70 kg) of psilocybin. Conclusions: This was the first study of the dose effects of psilocybin on a large battery of neurocognitive assessments. Evidence of delirium or global cognitive impairment was not observed with either psilocybin or DXM. Psilocybin had greater effects than DXM on working memory. DXM had greater effects than all psilocybin doses on balance, episodic memory, response inhibition, and executive control.Copyright Â© 2018, Springer-Verlag GmbH Germany, part of Springer Nature.",http://dx.doi.org/10.1007/s00213-018-4981-x,2018,Psychopharmacology,235,10,2915-2927,NA,NA,NA
180,912,912,NA,Double-blind comparison of the two hallucinogens psilocybin and dextromethorphan: similarities and differences in subjective experiences,"Rationale: Although psilocybin and dextromethorphan (DXM) are hallucinogens, they have different receptor mechanisms of action and have not been directly compared. Objective: This study compared subjective, behavioral, and physiological effects of psilocybin and dextromethorphan under conditions that minimized expectancy effects. Methods: Single, acute oral doses of psilocybin (10, 20, 30 mg/70 kg), DXM (400 mg/70 kg), and placebo were administered under double-blind conditions to 20 healthy participants with histories of hallucinogen use. Instructions to participants and staff minimized expectancy effects. Various subjective, behavioral, and physiological effects were assessed after drug administration. Results: High doses of both drugs produced similar increases in participant ratings of peak overall drug effect strength, with similar times to maximal effect and time-course. Psilocybin produced orderly dose-related increases on most participant-rated subjective measures previously shown sensitive to hallucinogens. DXM produced increases on most of these same measures. However, the high dose of psilocybin produced significantly greater and more diverse visual effects than DXM including greater movement and more frequent, brighter, distinctive, and complex (including textured and kaleidoscopic) images and visions. Compared to DXM, psilocybin also produced significantly greater mystical-type and psychologically insightful experiences and greater absorption in music. In contrast, DXM produced larger effects than psilocybin on measures of disembodiment, nausea/emesis, and light-headedness. Both drugs increased systolic blood pressure, heart rate, and pupil dilation and decreased psychomotor performance and balance. Conclusions: Psilocybin and DXM produced similar profiles of subjective experiences, with psilocybin producing relatively greater visual, mystical-type, insightful, and musical experiences, and DXM producing greater disembodiment. Copyright (C) 2017 Springer-Verlag GmbH Germany",NA,2017,Psychopharmacology,NA,NA,1-NA,NA,NA,NA
